"","x"
"1",6657
"2",8260
"3",7606
"4",7691
"5",7822
"6",7117
"7",8739
"8",7339
"9",7364
"10",7701
"11",8539
"12",6606
"13",8540
"14",7805
"15",7941
"16",8295
"17",6453
"18",8051
"19",8565
"20",8741
"21",7132
"22",7387
"23",8043
"24",7646
"25",7583
"26",8623
"27",6361
"28",6564
"29",8179
"30",8460
"31",8504
"32",6697
"33",7899
"34",8049
"35",6646
"36",8588
"37",6701
"38",8645
"39",8111
"40",8569
"41",7234
"42",8398
"43",7199
"44",7815
"45",8329
"46",8075
"47",7639
"48",7720
"49",7506
"50",7643
"51",8171
"52",7415
"53",6741
"54",7478
"55",8083
"56",7139
"57",8242
"58",8198
"59",7454
"60",7586
"61",8115
"62",8309
"63",6411
"64",7973
"65",8532
"66",7774
"67",8587
"68",6693
"69",7500
"70",8299
"71",6762
"72",7247
"73",6707
"74",7323
"75",8571
"76",6131
"77",7609
"78",7883
"79",8316
"80",7667
"81",8811
"82",8895
"83",7392
"84",7568
"85",8734
"86",7233
"87",6439
"88",6591
"89",6626
"90",7495
"91",7515
"92",6509
"93",7975
"94",8298
"95",7399
"96",8359
"97",8419
"98",7952
"99",8552
"100",7437
"101",8042
"102",7981
"103",7712
"104",7156
"105",7521
"106",7783
"107",7741
"108",8439
"109",6448
"110",7809
"111",7202
"112",7636
"113",8443
"114",7761
"115",7081
"116",8607
"117",7944
"118",7265
"119",7261
"120",7406
"121",7434
"122",7950
"123",8082
"124",4585
"125",8644
"126",8549
"127",7945
"128",7989
"129",8630
"130",8195
"131",7270
"132",7317
"133",9004
"134",7698
"135",8384
"136",7860
"137",8264
"138",6360
"139",3221
"140",7999
"141",7753
"142",7931
"143",2956
"144",7326
"145",8737
"146",7925
"147",6397
"148",6427
"149",8506
"150",7127
"151",6201
"152",6747
"153",8141
"154",8337
"155",7481
"156",7337
"157",8285
"158",6496
"159",7790
"160",8825
"161",8733
"162",7831
"163",8024
"164",7771
"165",6234
"166",7269
"167",8403
"168",8617
"169",8040
"170",8175
"171",7216
"172",7768
"173",6599
"174",8520
"175",6750
"176",6505
"177",6532
